group,type,company,url
non_qr,Insurance/Reinsurance,Hannover Re,https://www.hannover-re.com/
non_qr,Insurance/Reinsurance,Liberty Mutual,https://www.libertymutual.com/
non_qr,Insurance/Reinsurance,Lloyd's of London,https://www.lloyds.com/
non_qr,Insurance/Reinsurance,MetLife,https://www.metlife.com/
non_qr,Insurance/Reinsurance,Munich Re,https://www.munichre.com/
non_qr,Insurance/Reinsurance,New York Life Insurance Company,https://www.newyorklife.com/
non_qr,Insurance/Reinsurance,Northwestern Mutual,https://www.northwesternmutual.com/
non_qr,Insurance/Reinsurance,Prudential Financial,https://www.prudential.com/
non_qr,Insurance/Reinsurance,RGA,https://www.rgare.com/
non_qr,Insurance/Reinsurance,SCOR SE,https://www.scor.com/
non_qr,Insurance/Reinsurance,Swiss Re,https://www.swissre.com/
non_qr,Insurance/Reinsurance,TIAA,https://www.tiaa.org/
non_qr,Insurance/Reinsurance,Travelers Companies,https://www.travelers.com/
non_qr,Insurance/Reinsurance,Zurich Insurance Company,https://www.zurich.com/
non_qr,Investment Banking (IB),ABN AMRO Securities (USA),https://www.abnamro.com/en/home
non_qr,Investment Banking (IB),BMO Capital Markets,https://capitalmarkets.bmo.com/en/
non_qr,Investment Banking (IB),BNP Paribas,https://group.bnpparibas/en/
non_qr,Investment Banking (IB),Bank of America,https://www.bankofamerica.com/
non_qr,Investment Banking (IB),Barclays,https://home.barclays/
non_qr,Investment Banking (IB),Cantor Fitzgerald,https://www.cantor.com/
non_qr,Investment Banking (IB),Citi,https://www.citi.com/
non_qr,Investment Banking (IB),Cowen,https://cowengroup.com/
non_qr,Investment Banking (IB),Credit Suisse,https://www.credit-suisse.com/us/en.html
non_qr,Investment Banking (IB),Credit Agricole Group,https://www.credit-agricole.com/en
non_qr,Investment Banking (IB),Daiwa Capital Markets America,https://us.daiwacm.com/
non_qr,Investment Banking (IB),Deutsche Bank,https://www.db.com/index
non_qr,Investment Banking (IB),Goldman Sachs,https://www.goldmansachs.com/
non_qr,Investment Banking (IB),JMP Securities,https://www.jmpsecurities.com/
non_qr,Investment Banking (IB),JP Morgan Chase,https://www.jpmorganchase.com/
non_qr,Investment Banking (IB),Jefferies,https://www.jefferies.com/
non_qr,Investment Banking (IB),Keefe Bruyette & Woods,https://www.kbw.com/
non_qr,Investment Banking (IB),Ladenburg Thalmann,https://www.ladenburg.com/
non_qr,Investment Banking (IB),Macquarie Capital (USA),https://www.macquarie.com/us/en.html
non_qr,Investment Banking (IB),Maxim Group,https://www.maximgrp.com/
non_qr,Investment Banking (IB),Mitsubishi UFJ Financial Group,https://www.mufgamericas.com/
non_qr,Investment Banking (IB),Mizuho,https://www.mizuhogroup.com/americas
non_qr,Investment Banking (IB),Morgan Stanley,https://www.morganstanley.com/
non_qr,Investment Banking (IB),Natixis,https://www.natixis.com
non_qr,Investment Banking (IB),Needham & Company,https://www.needhamco.com/
non_qr,Investment Banking (IB),Nomura,https://www.nomura.com/
non_qr,Investment Banking (IB),Oppenheimer & Co.,https://www.oppenheimer.com/
non_qr,Investment Banking (IB),RBC,https://www.rbc.com/
non_qr,Investment Banking (IB),RBS,https://www.rbs.com/
non_qr,Investment Banking (IB),SMBC Capital Markets,https://www.smbcgroup.com/
non_qr,Investment Banking (IB),TD Bank,https://www.td.com
non_qr,Investment Banking (IB),UBS,https://www.ubs.com/
non_qr,Investment Banking (IB),Wells Fargo,https://www.wellsfargo.com/
non_qr,Other,24 Exchange,https://24exchange.com/
non_qr,Other,360T,https://www.360t.com/
non_qr,Other,Agam Capital,https://www.agamcapital.com/
non_qr,Other,Applied Academics,https://www.appliedacademics.com/
non_qr,Other,CME Group,https://www.cmegroup.com/
non_qr,Other,Capital Group (Portfolio Analytics),https://www.capitalgroup.com/
non_qr,Other,DC Energy,https://www.dc-energy.com/
non_qr,Other,DTCC,https://www.dtcc.com/
non_qr,Other,Dow Jones,https://www.dowjones.com/
non_qr,Other,FICO,https://www.fico.com/en
non_qr,Other,FactSet,https://www.factset.com/
non_qr,Other,Fannie Mae,https://www.fanniemae.com/
non_qr,Other,Freddie Mac,https://www.freddiemac.com/
non_qr,Other,IHS Markit,https://www.spglobal.com/
non_qr,Other,Instinet,https://www.instinet.com/
non_qr,Other,Interactive Brokers,https://www.interactivebrokers.com/
non_qr,Other,Intercontinental Exchange (ICE),https://www.theice.com/
non_qr,Other,KBRA,https://www.kbra.com/
non_qr,Other,Liquidnet,https://www.liquidnet.com/
non_qr,Other,Mellon Investments,https://www.mellon.com/
non_qr,Other,Murex,https://www.murex.com/
non_qr,Other,OCC,https://www.theocc.com/
non_qr,Other,StoneX,https://www.stonex.com/
non_qr,Other,Strategic Investment Management,https://www.strategicgroup.com/
non_qr,Other,TradeWeb,https://www.tradeweb.com/
non_qr,Other,Trivariate Research,https://www.trivariate.com/
non_qr,Other,Voya Investment Management,https://www.voyainvestments.com/
non_qr,Other,Wolfe Research,https://www.wolferesearch.com/
non_qr,Other HF,Aristeia Capital,https://www.aristeiacapital.com/
non_qr,Other HF,Axion Group,https://axiongroup.com/
non_qr,Other HF,Axonic Capital,https://www.axoniccap.com/
non_qr,Other HF,Balbec Capital,https://balbec.com/
non_qr,Other HF,Bayview Asset Management,https://bayview.com/
non_qr,Other HF,Capula Investment Management,https://www.capulaglobal.com/
non_qr,Other HF,DC Investment Management,https://www.dcinvestmentpartners.com/
non_qr,Other HF,Davidson Kempner Capital Management,https://www.davidsonkempner.com/
non_qr,Other HF,Ellington Management Group,https://www.ellington.com/
non_qr,Other HF,MIO Partners,https://www.miopartners.com/
non_qr,Other HF,MKP Capital Management,https://www.mkpcap.com/
non_qr,Other HF,Marathon Asset Management,https://www.marathonfund.com/
non_qr,Other HF,Mariner Investment Group,https://www.marinerinvestment.com/
non_qr,Other HF,Matrix Capital Management,https://www.linkedin.com/company/matrix-capital-management-lp
non_qr,Other HF,Napier Park Global Capital,https://www.napierparkglobal.com/
non_qr,Other HF,New Holland Capital,https://newhollandcapital.com
non_qr,Other HF,Oak Hill Advisors,https://www.oakhilladvisors.com
non_qr,Other HF,One River Asset Management,https://www.oneriveram.com
non_qr,Other HF,One William Street Capital Management,https://onewilliamstreet.com
non_qr,Other HF,Pan Capital Management,https://pancapmgmt.com
non_qr,Other HF,Quantix Commodities,https://quantixcommodities.com
non_qr,Other HF,Saba Capital Management,https://www.sabacapital.com
non_qr,Other HF,Tilden Park Capital Management,https://tildenparkcapital.com
non_qr,Rating Agency,Acorns,https://www.acorns.com
non_qr,Rating Agency,Kroll Bond Rating Agency,https://www.kbra.com
non_qr,Rating Agency,Moody's,https://www.moodys.com
non_qr,Rating Agency,Standard & Poor's,https://www.spglobal.com/ratings/en/
non_qr,Wealth Management/Financial Advisors,D.A. Davidson & Co.,https://www.dadavidson.com
non_qr,Wealth Management/Financial Advisors,Edward D. Jones & Co.,https://www.edwardjones.com
non_qr,Wealth Management/Financial Advisors,Envestnet,https://www.envestnet.com
non_qr,Wealth Management/Financial Advisors,Fiduciary Trust Company International,https://www.fiduciarytrust.com
